,experience_level,job_title,salary_in_usd,remote_ratio,company_size,company_location
0,SE,Data Scientist,68428,100,L,US
1,MI,Data Scientist,45760,100,S,US
2,MI,Data Scientist,105000,100,L,US
3,MI,Data Scientist,118000,100,M,US
4,SE,Data Scientist,120000,50,L,US
5,MI,Data Scientist,138350,100,M,US
6,SE,Data Scientist,412000,100,L,US
7,EN,Data Scientist,105000,100,S,US
8,MI,Data Scientist,73000,0,L,US
9,EN,Data Scientist,100000,0,S,US
10,EN,Data Scientist,80000,100,M,US
11,MI,Data Scientist,82500,100,S,US
12,MI,Data Scientist,150000,100,M,US
13,MI,Data Scientist,5679,100,S,US
14,MI,Data Scientist,147000,50,L,US
15,MI,Data Scientist,160000,100,L,US
16,SE,Data Scientist,135000,0,L,US
17,SE,Data Scientist,165000,100,L,US
18,MI,Data Scientist,115000,50,L,US
19,EN,Data Scientist,90000,100,S,US
20,MI,Data Scientist,130000,50,L,US
21,EN,Data Scientist,100000,100,M,US
22,EN,Data Scientist,58000,50,L,US
23,MI,Data Scientist,109000,50,L,US
24,MI,Data Scientist,130000,0,M,US
25,MI,Data Scientist,90000,0,M,US
26,SE,Data Scientist,136620,100,M,US
27,SE,Data Scientist,99360,100,M,US
28,SE,Data Scientist,146000,100,M,US
29,SE,Data Scientist,123000,100,M,US
30,SE,Data Scientist,165220,100,M,US
31,SE,Data Scientist,120160,100,M,US
32,SE,Data Scientist,180000,0,L,US
33,SE,Data Scientist,120000,0,L,US
34,SE,Data Scientist,95550,0,M,US
35,SE,Data Scientist,167000,100,M,US
36,SE,Data Scientist,123000,100,M,US
37,SE,Data Scientist,150000,0,M,US
38,SE,Data Scientist,211500,100,M,US
39,SE,Data Scientist,138600,100,M,US
40,SE,Data Scientist,170000,100,M,US
41,SE,Data Scientist,123000,100,M,US
42,SE,Data Scientist,215300,100,L,US
43,SE,Data Scientist,158200,100,L,US
44,SE,Data Scientist,180000,100,M,US
45,SE,Data Scientist,260000,100,M,US
46,SE,Data Scientist,180000,0,M,US
47,SE,Data Scientist,80000,0,M,US
48,SE,Data Scientist,140400,0,L,US
49,SE,Data Scientist,215300,0,L,US
50,SE,Data Scientist,104890,100,M,US
51,SE,Data Scientist,140000,100,M,US
52,SE,Data Scientist,220000,100,M,US
53,SE,Data Scientist,140000,100,M,US
54,SE,Data Scientist,185100,100,M,US
55,MI,Data Scientist,200000,100,M,US
56,MI,Data Scientist,120000,100,M,US
57,SE,Data Scientist,230000,100,M,US
58,MI,Data Scientist,100000,100,M,US
59,SE,Data Scientist,100000,100,M,US
60,SE,Data Scientist,165000,100,M,US
61,MI,Data Scientist,48000,100,S,US
62,MI,Data Scientist,135000,100,L,US
63,MI,Data Scientist,78000,100,M,US
64,MI,Data Scientist,141300,0,M,US
65,MI,Data Scientist,102100,0,M,US
66,SE,Data Scientist,205300,0,L,US
67,SE,Data Scientist,140400,0,L,US
68,SE,Data Scientist,176000,100,M,US
69,SE,Data Scientist,144000,100,M,US
70,SE,Data Scientist,205300,0,M,US
71,SE,Data Scientist,140400,0,M,US
72,SE,Data Scientist,140000,100,M,US
73,SE,Data Scientist,210000,100,M,US
74,SE,Data Scientist,140000,100,M,US
75,SE,Data Scientist,210000,100,M,US
76,SE,Data Scientist,140000,100,M,US
77,SE,Data Scientist,210000,100,M,US
78,SE,Data Scientist,140000,100,M,US
79,SE,Data Scientist,230000,100,M,US
80,SE,Data Scientist,150000,100,M,US
81,SE,Data Scientist,210000,100,M,US
82,MI,Data Scientist,160000,100,M,US
83,MI,Data Scientist,130000,100,M,US
84,MI,Data Engineer,106000,100,L,US
85,SE,Data Engineer,188000,100,L,US
86,MI,Data Engineer,110000,100,L,US
87,MI,Data Engineer,130800,100,M,US
88,MI,Data Engineer,140000,100,L,US
